nameWithOwner,url,status,error
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,failed,O arquivo output\Snailclimb__JavaGuide\ck_raw\class.csv não possui linhas de dados.
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,failed,O arquivo output\Snailclimb__JavaGuide\ck_raw\class.csv não possui linhas de dados.
elastic/elasticsearch,https://github.com/elastic/elasticsearch,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\elastic__elasticsearch', 'false', '0', 'false', 'output\\elastic__elasticsearch\\ck_raw']' returned non-zero exit status 1."
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,failed,O arquivo output\Snailclimb__JavaGuide\ck_raw\class.csv não possui linhas de dados.
elastic/elasticsearch,https://github.com/elastic/elasticsearch,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\elastic__elasticsearch', 'false', '0', 'false', 'output\\elastic__elasticsearch\\ck_raw']' returned non-zero exit status 1."
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\NationalSecurityAgency__ghidra', 'false', '0', 'false', 'output\\NationalSecurityAgency__ghidra\\ck_raw']' returned non-zero exit status 1."
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,failed,O arquivo output\Snailclimb__JavaGuide\ck_raw\class.csv não possui linhas de dados.
elastic/elasticsearch,https://github.com/elastic/elasticsearch,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\elastic__elasticsearch', 'false', '0', 'false', 'output\\elastic__elasticsearch\\ck_raw']' returned non-zero exit status 1."
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\NationalSecurityAgency__ghidra', 'false', '0', 'false', 'output\\NationalSecurityAgency__ghidra\\ck_raw']' returned non-zero exit status 1."
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\dbeaver__dbeaver', 'false', '0', 'false', 'output\\dbeaver__dbeaver\\ck_raw']' returned non-zero exit status 1."
Anuken/Mindustry,https://github.com/Anuken/Mindustry,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\Anuken__Mindustry', 'false', '0', 'false', 'output\\Anuken__Mindustry\\ck_raw']' returned non-zero exit status 1."
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,failed,O arquivo output\hollischuang__toBeTopJavaer\ck_raw\class.csv não possui linhas de dados.
openjdk/jdk,https://github.com/openjdk/jdk,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\openjdk__jdk', 'false', '0', 'false', 'output\\openjdk__jdk\\ck_raw']' returned non-zero exit status 1."
oracle/graal,https://github.com/oracle/graal,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\oracle__graal', 'false', '0', 'false', 'output\\oracle__graal\\ck_raw']' returned non-zero exit status 1."
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\thingsboard__thingsboard', 'false', '0', 'false', 'output\\thingsboard__thingsboard\\ck_raw']' returned non-zero exit status 1."
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\JetBrains__intellij-community', 'false', '0', 'false', 'output\\JetBrains__intellij-community\\ck_raw']' returned non-zero exit status 1."
questdb/questdb,https://github.com/questdb/questdb,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\questdb__questdb', 'false', '0', 'false', 'output\\questdb__questdb\\ck_raw']' returned non-zero exit status 1."
Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\Grasscutters__Grasscutter', 'false', '0', 'false', 'output\\Grasscutters__Grasscutter\\ck_raw']' returned non-zero exit status 1."
neo4j/neo4j,https://github.com/neo4j/neo4j,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\neo4j__neo4j', 'false', '0', 'false', 'output\\neo4j__neo4j\\ck_raw']' returned non-zero exit status 1."
apache/doris,https://github.com/apache/doris,failed,"Command '['git', 'clone', '--depth', '1', '-c', 'core.longpaths=true', 'https://github.com/apache/doris', 'w\\apache__doris']' returned non-zero exit status 128."
projectlombok/lombok,https://github.com/projectlombok/lombok,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\projectlombok__lombok', 'false', '0', 'false', 'output\\projectlombok__lombok\\ck_raw']' returned non-zero exit status 1."
trinodb/trino,https://github.com/trinodb/trino,failed,"Command '['java', '-jar', 'C:\\Users\\delfi\\OneDrive\\Documentos\\Faculdade\\Sexto Periodo\\Lab. de Experimentação de Software\\Laboratorio-Experimentacao-de-Software\\Lab 2\\tools\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'w\\trinodb__trino', 'false', '0', 'false', 'output\\trinodb__trino\\ck_raw']' returned non-zero exit status 1."
frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,failed,O arquivo output\frank-lam__fullstack-tutorial\ck_raw\class.csv não possui linhas de dados.
mission-peace/interview,https://github.com/mission-peace/interview,failed,"Command '['git', 'clone', '--depth', '1', '-c', 'core.longpaths=true', 'https://github.com/mission-peace/interview', 'w\\mission-peace__interview']' returned non-zero exit status 128."
apereo/cas,https://github.com/apereo/cas,failed,"Command '['git', 'clone', '--depth', '1', '-c', 'core.longpaths=true', 'https://github.com/apereo/cas', 'w\\apereo__cas']' returned non-zero exit status 128."
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,failed,"Command '['git', 'clone', '--depth', '1', '-c', 'core.longpaths=true', 'https://github.com/permissions-dispatcher/PermissionsDispatcher', 'w\\permissions-dispatcher__PermissionsDispatcher']' returned non-zero exit status 128."
daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,failed,"Command '['git', 'clone', '--depth', '1', '-c', 'core.longpaths=true', 'https://github.com/daniulive/SmarterStreaming', 'w\\daniulive__SmarterStreaming']' returned non-zero exit status 128."
react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,failed,O arquivo output\react-native-camera__react-native-camera\ck_raw\class.csv não possui linhas de dados.
